City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Tonantins,BR,2021-02-04 00:04:41,-2.8731,-67.8022,75.4,95,100,2.93
92,Jamestown,US,2021-02-03 23:59:58,42.097,-79.2353,27.0,80,1,14.97
93,Alappuzha,IN,2021-02-04 00:04:42,9.49,76.3264,75.6,75,30,6.15
94,Talcahuano,CL,2021-02-04 00:04:42,-36.7167,-73.1167,59.0,94,0,8.05
95,Lunenburg,CA,2021-02-04 00:04:42,44.3835,-64.3155,39.2,100,68,3.44
96,Bluff,NZ,2021-02-04 00:01:10,-46.6,168.3333,56.16,62,42,18.37
97,Pevek,RU,2021-02-04 00:04:43,69.7008,170.3133,-6.99,73,17,9.4
98,Rio Gallegos,AR,2021-02-04 00:04:43,-51.6226,-69.2181,73.4,43,40,18.41
99,Tiznit,MA,2021-02-04 00:04:44,29.5833,-9.5,64.11,43,0,2.95
100,Rio Verde De Mato Grosso,BR,2021-02-04 00:04:44,-18.9181,-54.8442,81.59,66,87,4.7
101,Yulara,AU,2021-02-04 00:01:14,-25.2406,130.9889,87.8,22,91,13.8
102,Sayyan,YE,2021-02-04 00:02:14,15.1718,44.3244,41.11,62,0,2.82
103,Longyearbyen,SJ,2021-02-04 00:00:07,78.2186,15.6401,23.0,74,75,14.97
104,Biasca,CH,2021-02-04 00:04:45,46.3597,8.9697,43.0,100,75,3.44
105,Sorland,NO,2021-02-04 00:04:45,67.667,12.6934,34.81,81,37,22.66
106,Tigil,RU,2021-02-04 00:04:45,57.8,158.6667,9.5,95,80,3.44
107,Nishihara,JP,2021-02-04 00:04:46,26.1842,127.7558,62.6,55,40,5.75
108,Aripuana,BR,2021-02-04 00:04:05,-9.1667,-60.6333,75.9,95,77,1.48
109,Sambava,MG,2021-02-04 00:04:46,-14.2667,50.1667,78.58,82,100,8.16
110,Along,IN,2021-02-04 00:00:40,28.1667,94.7667,49.59,54,5,1.86
111,Morelia,MX,2021-02-04 00:00:24,19.7008,-101.1844,82.4,10,20,8.05
112,Maldonado,UY,2021-02-04 00:01:59,-34.6667,-54.9167,69.8,94,75,12.66
113,Ponta Do Sol,PT,2021-02-04 00:04:47,32.6667,-17.1,53.01,68,37,1.99
114,Dikson,RU,2021-02-04 00:04:47,73.5069,80.5464,-7.98,91,100,11.52
115,Airai,TL,2021-02-04 00:02:12,-8.9266,125.4092,61.9,100,100,4.63
116,Olbia,IT,2021-02-04 00:03:29,40.9214,9.4856,44.6,93,0,1.14
117,Poshekhonye,RU,2021-02-04 00:04:47,58.4993,39.1353,17.6,97,100,5.77
118,Albany,US,2021-02-04 00:04:48,42.6001,-73.9662,28.0,67,95,15.99
119,San Patricio,US,2021-02-04 00:04:48,28.017,-97.5169,73.4,64,75,19.57
120,Denpasar,ID,2021-02-04 00:04:41,-8.65,115.2167,78.8,89,40,1.14
121,Ostrovnoy,RU,2021-02-04 00:04:48,68.0531,39.5131,11.91,93,100,13.29
122,Berlevag,NO,2021-02-04 00:04:48,70.8578,29.0864,28.4,93,90,24.16
123,Namibe,AO,2021-02-04 00:04:48,-15.1961,12.1522,71.44,74,99,9.13
124,Provideniya,RU,2021-02-04 00:04:48,64.3833,-173.3,-6.09,83,100,16.02
125,Los Llanos De Aridane,ES,2021-02-04 00:04:48,28.6585,-17.9182,64.4,82,90,5.75
126,Maltahohe,NA,2021-02-04 00:04:49,-24.8333,16.9833,76.55,29,52,8.72
127,Yarensk,RU,2021-02-04 00:04:49,62.1675,49.0916,11.37,96,100,5.57
128,Mataura,NZ,2021-02-04 00:04:44,-46.1927,168.8643,61.72,41,27,7.74
129,Aksarka,RU,2021-02-04 00:04:49,66.5606,67.7975,-6.12,91,78,8.14
130,Sumbe,AO,2021-02-04 00:04:49,-11.2061,13.8437,76.01,85,5,7.78
131,Oskemen,KZ,2021-02-04 00:04:50,49.9565,82.6119,26.6,100,90,11.18
132,Chifeng,CN,2021-02-04 00:03:29,42.2683,118.9636,11.59,86,0,9.35
